# ============================================================
# 台灣加權股價報酬指數（發行量加權股價報酬指數）歷史資料
# ============================================================
#
# 【概念說明】
# 台灣有兩個主要指數：
#   1. 加權指數（Price Index，^TWII）：只反映股價漲跌，不含股利
#   2. 加權報酬指數（Total Return Index，本檔案）：股價漲跌 + 股利自動再投入
#
# 差異範例（2024年）：
#   加權指數 2023年底→2024年底：17,930 → 23,395，漲幅 +30.5%（不含息）
#   報酬指數 2023年底→2024年底：38,641 → 50,903，漲幅 +31.7%（含息）
#   差距 ≈ +1.2%，即 2024 年股利貢獻約 1.2%
#
# 【為何用報酬指數而非加權指數？】
# 投資人實際持有 ETF（如 0050）時，配息可以再投入繼續複利滾動。
# 報酬指數才是真實的「持有並再投入」的長期報酬。
# 用加權指數（不含息）計算滾動報酬，會低估實際年化報酬約 2~3%。
#
# 【資料來源】
# 台灣證券交易所（TWSE）官方 API
# URL: https://www.twse.com.tw/rwd/zh/TAIEX/MFI94U?response=json&date=YYYYMMDD
# 抓取時間：2026-05-31
# 資料範圍：2003-01-02 ~ 2026-05-29（每個交易日收盤值）
#
# 【欄位說明】
# date              : 日期（YYYY-MM-DD，西元）
# tr_index          : 發行量加權股價報酬指數收盤值
# year_end_flag     : Y = 該年最後一個交易日（用於計算年化報酬）
# annual_return_pct : 相對前一年最後交易日的報酬率（%），含股利再投入
# ============================================================
date,tr_index,year_end_flag,annual_return_pct
2005-01-12,6203.80,,
2005-01-13,6177.27,,
2005-01-14,6214.81,,
2005-01-17,6273.64,,
2005-01-18,6261.30,,
2005-01-19,6220.97,,
2005-01-20,6213.31,,
2005-01-21,6171.96,,
2005-01-24,6090.25,,
2005-01-25,6102.14,,
2005-01-26,6157.67,,
2005-01-27,6165.47,,
2005-01-28,6204.69,,
2005-01-31,6325.31,,
2005-02-01,6311.91,,
2005-02-02,6351.11,,
2005-02-03,6367.90,,
2005-02-14,6450.00,,
2005-02-15,6460.54,,
2005-02-16,6482.81,,
2005-02-17,6407.67,,
2005-02-18,6453.34,,
2005-02-21,6482.19,,
2005-02-22,6444.61,,
2005-02-23,6459.75,,
2005-02-24,6466.95,,
2005-02-25,6550.84,,
2005-03-01,6605.56,,
2005-03-02,6569.22,,
2005-03-03,6545.08,,
2005-03-04,6535.84,,
2005-03-07,6564.23,,
2005-03-08,6514.44,,
2005-03-09,6556.59,,
2005-03-10,6534.69,,
2005-03-11,6547.04,,
2005-03-14,6495.62,,
2005-03-15,6398.51,,
2005-03-16,6407.88,,
2005-03-17,6365.78,,
2005-03-18,6377.90,,
2005-03-21,6393.74,,
2005-03-22,6351.35,,
2005-03-23,6352.09,,
2005-03-24,6332.57,,
2005-03-25,6401.07,,
2005-03-28,6382.95,,
2005-03-29,6290.62,,
2005-03-30,6287.18,,
2005-03-31,6337.73,,
2005-04-01,6361.87,,
2005-04-04,6352.55,,
2005-04-06,6345.76,,
2005-04-07,6301.72,,
2005-04-08,6356.92,,
2005-04-11,6309.80,,
2005-04-12,6325.07,,
2005-04-13,6329.50,,
2005-04-14,6306.91,,
2005-04-15,6213.72,,
2005-04-18,6030.95,,
2005-04-19,6065.96,,
2005-04-20,6007.57,,
2005-04-21,6038.15,,
2005-04-22,6064.64,,
2005-04-25,6076.48,,
2005-04-26,6126.02,,
2005-04-27,6097.54,,
2005-04-28,6165.29,,
2005-04-29,6139.75,,
2005-05-03,6139.92,,
2005-05-04,6124.57,,
2005-05-05,6255.23,,
2005-05-06,6297.93,,
2005-05-09,6296.76,,
2005-05-10,6278.76,,
2005-05-11,6244.29,,
2005-05-12,6262.73,,
2005-05-13,6312.20,,
2005-05-16,6253.52,,
2005-05-17,6219.90,,
2005-05-18,6216.54,,
2005-05-19,6301.76,,
2005-05-20,6284.85,,
2005-05-23,6211.84,,
2005-05-24,6236.90,,
2005-05-25,6215.18,,
2005-05-26,6268.91,,
2005-05-27,6323.92,,
2005-05-30,6342.89,,
2005-05-31,6345.05,,
2005-06-01,6302.88,,
2005-06-02,6376.76,,
2005-06-03,6449.09,,
2005-06-06,6480.36,,
2005-06-07,6447.19,,
2005-06-08,6506.18,,
2005-06-09,6489.56,,
2005-06-10,6538.60,,
2005-06-13,6601.03,,
2005-06-14,6574.74,,
2005-06-15,6623.87,,
2005-06-16,6656.84,,
2005-06-17,6669.00,,
2005-06-20,6672.68,,
2005-06-21,6653.15,,
2005-06-22,6747.98,,
2005-06-23,6767.18,,
2005-06-24,6732.27,,
2005-06-27,6692.49,,
2005-06-28,6707.68,,
2005-06-29,6617.40,,
2005-06-30,6630.72,,
2005-07-01,6663.24,,
2005-07-04,6662.99,,
2005-07-05,6632.64,,
2005-07-06,6634.97,,
2005-07-07,6628.57,,
2005-07-08,6617.65,,
2005-07-11,6723.77,,
2005-07-12,6789.57,,
2005-07-13,6821.60,,
2005-07-14,6880.15,,
2005-07-15,6872.33,,
2005-07-19,6895.75,,
2005-07-20,6905.16,,
2005-07-21,6885.72,,
2005-07-22,6874.13,,
2005-07-25,6917.34,,
2005-07-26,6878.01,,
2005-07-27,6838.38,,
2005-07-28,6897.52,,
2005-07-29,6830.34,,
2005-08-01,6826.38,,
2005-08-02,6868.94,,
